,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
Rk,,Tm,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,FantPos,FantPt,VBD,PosRank,OvRank
1,Arian Foster*+,HOU,24,16,13,0,0,0,0,0,327,1616,4.94,16,66,604,9.15,2,RB,330,192,1,1
2,Peyton Hillis,CLE,24,16,14,1,2,13,0,0,270,1177,4.36,11,61,477,7.82,2,RB,244,106,2,2
3,Adrian Peterson*,MIN,25,15,15,0,0,0,0,0,283,1298,4.59,12,36,341,9.47,1,RB,242,104,3,3
4,Jamaal Charles*+,KAN,24,16,6,0,0,0,0,0,230,1467,6.38,5,45,468,10.40,3,RB,242,103,4,4
5,Chris Johnson*,TEN,25,16,16,0,0,0,0,0,316,1364,4.32,11,44,245,5.57,1,RB,233,95,5,5
6,Brandon Lloyd*,DEN,29,16,11,0,0,0,0,0,1,-18,-18.00,0,77,1448,18.81,11,WR,209,91,1,6
7,Dwayne Bowe*,KAN,26,16,16,0,0,0,0,0,1,4,4.00,0,72,1162,16.14,15,WR,207,89,2,7
8,Darren McFadden,OAK,23,13,13,0,1,0,0,0,223,1157,5.19,7,47,507,10.79,3,RB,226,88,6,8
9,Tom Brady*+,NWE,33,16,16,324,492,3900,36,4,31,30,0.97,1,0,0,,0,QB,373,88,1,9
10,Rashard Mendenhall,PIT,23,16,16,0,0,0,0,0,324,1273,3.93,13,23,167,7.26,0,RB,222,84,7,10
11,LeSean McCoy,PHI,22,15,13,0,0,0,0,0,207,1080,5.22,7,78,592,7.59,2,RB,221,83,8,11
12,Roddy White*+,ATL,29,16,16,0,0,0,0,0,1,3,3.00,0,115,1389,12.08,10,WR,199,81,3,12
13,Greg Jennings*,GNB,27,16,16,0,0,0,0,0,1,-1,-1.00,0,76,1265,16.64,12,WR,198,81,4,13
14,Michael Turner*,ATL,28,16,15,0,0,0,0,0,334,1371,4.10,12,12,85,7.08,0,RB,218,80,9,14
15,Matt Forte,CHI,25,16,16,0,0,0,0,0,237,1069,4.51,6,51,547,10.73,3,RB,216,78,10,15
