,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
16,Aaron Rodgers,GNB,27,15,15,312,475,3922,28,11,64,356,5.56,4,0,0,,0,QB,362,77,2,16
17,Ray Rice,BAL,23,16,14,0,0,0,0,0,307,1220,3.97,5,63,556,8.83,1,RB,214,76,11,17
18,Mike Wallace,PIT,24,16,16,0,0,0,0,0,5,39,7.80,0,60,1257,20.95,10,WR,190,72,5,18
19,Michael Vick*,PHI,30,12,11,233,372,3018,21,6,100,676,6.76,9,0,0,,0,QB,356,71,3,19
20,Calvin Johnson*,DET,25,15,15,0,0,0,0,0,4,32,8.00,0,77,1120,14.55,12,WR,187,69,6,20
21,Peyton Manning*,IND,34,16,16,450,679,4700,33,17,18,18,1.00,0,0,0,,0,QB,354,69,4,21
22,Maurice Jones-Drew*,JAX,25,14,14,0,1,0,0,1,299,1324,4.43,5,34,317,9.32,2,RB,204,66,12,22
23,Ahmad Bradshaw,NYG,24,16,11,0,0,0,0,0,276,1235,4.47,8,47,314,6.68,0,RB,203,65,13,23
24,Philip Rivers*,SDG,29,16,16,357,541,4710,30,13,29,52,1.79,0,0,0,,0,QB,348,62,5,24
25,Steven Jackson*,STL,27,16,16,0,0,0,0,0,330,1241,3.76,6,46,383,8.33,0,RB,198,60,14,25
26,Jason Witten*+,DAL,28,16,16,0,0,0,0,0,0,0,,0,94,1002,10.66,9,TE,154,58,1,26
27,Drew Brees*,NOR,31,16,16,448,658,4620,33,22,18,-3,-0.17,0,1,7,7.00,0,QB,339,54,6,27
28,Reggie Wayne*+,IND,32,16,16,0,0,0,0,0,0,0,,0,111,1355,12.21,6,WR,172,54,7,28
29,Hakeem Nicks,NYG,22,13,12,0,0,0,0,0,0,0,,0,79,1052,13.32,11,WR,171,53,8,29
,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
Rk,,Tm,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,FantPos,FantPt,VBD,PosRank,OvRank
30,Andre Johnson*,HOU,29,13,13,0,0,0,0,0,2,10,5.00,0,86,1216,14.14,8,WR,171,53,9,30
31,Steve Johnson,BUF,24,16,13,0,0,0,0,0,0,0,,0,82,1073,13.09,10,WR,167,50,10,31
32,BenJarvus Green-Ellis,NWE,25,16,11,0,0,0,0,0,229,1008,4.40,13,12,85,7.08,0,RB,187,49,15,32
33,Mike Williams,TAM,23,16,16,0,0,0,0,0,0,0,,0,65,964,14.83,11,WR,162,45,11,33
34,Miles Austin*,DAL,26,16,16,0,0,0,0,0,7,93,13.29,1,69,1041,15.09,7,WR,161,44,12,34
35,Jeremy Maclin,PHI,22,16,16,0,0,0,0,0,3,36,12.00,0,70,964,13.77,10,WR,160,42,13,35
36,Antonio Gates*,SDG,30,10,10,0,0,0,0,0,0,0,,0,50,782,15.64,10,TE,138,42,2,36
37,DeSean Jackson*,PHI,24,14,14,0,0,0,0,0,16,104,6.50,1,47,1056,22.47,6,WR,158,40,14,37
38,Cedric Benson,CIN,28,16,16,0,0,0,0,0,321,1111,3.46,7,28,178,6.36,1,RB,177,39,16,38
39,Vernon Davis,SFO,26,16,16,0,0,0,0,0,0,0,,0,56,914,16.32,7,TE,133,37,3,39
40,Terrell Owens,CIN,37,14,11,0,0,0,0,0,0,0,,0,72,983,13.65,9,WR,152,35,15,40
41,Marcedes Lewis*,JAX,26,16,16,0,0,0,0,0,0,0,,0,58,700,12.07,10,TE,130,34,4,41
42,Larry Fitzgerald*,ARI,27,16,15,0,0,0,0,0,0,0,,0,90,1137,12.63,6,WR,150,32,16,42
43,Mario Manningham,NYG,24,16,8,0,0,0,0,0,1,2,2.00,0,60,944,15.73,9,WR,149,31,17,43
44,Santana Moss,WAS,31,16,16,0,0,0,0,0,5,-6,-1.20,0,93,1115,11.99,6,WR,147,29,18,44
45,Josh Freeman,TAM,22,16,16,291,474,3451,25,6,68,364,5.35,0,0,0,,0,QB,312,27,7,45
46,Marques Colston,NOR,27,15,11,0,0,0,0,0,1,1,1.00,0,84,1023,12.18,7,WR,144,27,19,46
47,LaDainian Tomlinson,NYJ,31,15,13,0,0,0,0,0,219,914,4.17,6,52,368,7.08,0,RB,164,26,17,47
48,Matt Ryan*,ATL,25,16,16,357,571,3705,28,9,46,122,2.65,0,0,0,,0,QB,310,25,8,48
49,Knowshon Moreno,DEN,23,13,13,0,0,0,0,0,182,779,4.28,5,37,372,10.05,3,RB,163,25,18,49
50,Mike Tolbert,SDG,25,15,4,0,0,0,0,0,182,735,4.04,11,25,216,8.64,0,RB,161,23,19,50
51,Frank Gore,SFO,27,11,11,0,0,0,0,0,203,853,4.20,3,46,452,9.83,2,RB,161,22,20,51
52,Rob Gronkowski,NWE,21,16,11,0,0,0,0,0,0,0,,0,42,546,13.00,10,TE,115,18,5,52
53,Fred Jackson,BUF,29,16,13,0,0,0,0,0,222,927,4.18,5,31,215,6.94,2,RB,156,18,21,53
54,Eli Manning,NYG,29,16,16,339,539,4002,31,25,32,70,2.19,0,0,0,,0,QB,303,18,9,54
55,Percy Harvin,MIN,22,14,13,0,0,0,0,0,18,107,5.94,1,71,868,12.23,5,WR,134,16,20,55
56,Braylon Edwards,NYJ,27,16,15,0,0,0,0,0,1,4,4.00,0,53,904,17.06,7,WR,133,15,21,56
57,Kenny Britt,TEN,22,12,7,0,0,0,0,0,0,0,,0,42,775,18.45,9,WR,132,14,22,57
58,Matt Schaub,HOU,29,16,16,365,574,4370,24,12,22,28,1.27,0,0,0,,0,QB,298,12,10,58
59,Danny Woodhead,2TM,25,15,3,0,0,0,0,0,97,547,5.64,5,34,379,11.15,1,WR,129,11,23,59
,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
Rk,,Tm,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,FantPos,FantPt,VBD,PosRank,OvRank
60,Wes Welker*,NWE,29,15,11,0,0,0,0,0,0,0,,0,86,848,9.86,7,WR,127,9,24,60
61,Johnny Knox,CHI,24,16,16,0,0,0,0,0,1,2,2.00,0,51,960,18.82,5,WR,126,8,25,61
62,Anquan Boldin,BAL,30,16,16,1,1,-6,0,0,2,2,1.00,0,64,837,13.08,7,WR,126,8,26,62
63,Kellen Winslow Jr.,TAM,27,16,11,0,0,0,0,0,0,0,,0,66,730,11.06,5,TE,103,7,6,63
64,Chris Cooley,WAS,28,16,16,0,0,0,0,0,0,0,,0,77,849,11.03,3,TE,103,7,7,64
65,Lance Moore,NOR,27,16,1,0,0,0,0,0,0,0,,0,66,763,11.56,8,WR,124,7,27,65
66,Tony Gonzalez*,ATL,34,16,16,0,0,0,0,0,0,0,,0,70,656,9.37,6,TE,102,5,8,66
67,Derrick Mason,BAL,36,16,15,0,0,0,0,0,0,0,,0,61,802,13.15,7,WR,122,4,28,67
68,Joe Flacco,BAL,25,16,16,306,489,3622,25,10,43,84,1.95,1,0,0,,0,QB,289,4,11,68
69,Brandon Jacobs,NYG,28,16,5,0,0,0,0,0,147,823,5.60,9,7,59,8.43,0,RB,142,4,22,69
70,Dustin Keller,NYJ,26,16,14,0,0,0,0,0,0,0,,0,55,687,12.49,5,TE,99,3,9,70
71,Zach Miller*,OAK,25,15,15,0,0,0,0,0,0,0,,0,60,685,11.42,5,TE,99,2,10,71
72,Jahvid Best,DET,21,16,9,0,1,0,0,0,171,555,3.25,4,58,487,8.40,2,RB,140,2,23,72
73,Brandon Marshall,MIA,26,14,14,0,1,0,0,0,2,3,1.50,0,86,1014,11.79,3,WR,120,2,29,73
74,Aaron Hernandez,NWE,21,14,7,0,0,0,0,0,3,47,15.67,0,45,563,12.51,6,TE,97,1,11,74
75,Deion Branch,2TM,31,15,12,0,0,0,0,0,0,0,,0,61,818,13.41,6,WR,118,,30,75
76,LeGarrette Blount,TAM,24,13,7,0,0,0,0,0,201,1007,5.01,6,5,14,2.80,0,RB,138,,24,76
77,Brandon Pettigrew,DET,25,16,16,0,0,0,0,0,0,0,,0,71,722,10.17,4,TE,96,,12,77
78,Matt Cassel*,KAN,28,15,15,262,450,3116,27,7,33,125,3.79,0,0,0,,0,QB,285,,12,78
79,Carson Palmer,CIN,31,16,16,362,586,3970,26,20,32,50,1.56,0,0,0,,0,QB,280,,13,
80,David Garrard,JAX,32,14,14,236,366,2734,23,15,66,279,4.23,5,0,0,,0,QB,275,,14,
81,Jay Cutler,CHI,27,15,15,261,432,3274,23,16,50,232,4.64,1,0,0,,0,QB,266,,15,
82,Kyle Orton,DEN,28,13,13,293,498,3653,20,9,22,98,4.45,0,0,0,,0,QB,258,,16,
83,Ryan Fitzpatrick,BUF,28,13,13,255,441,3000,23,15,40,269,6.73,0,0,0,,0,QB,255,,17,
84,Ben Roethlisberger,PIT,28,12,12,240,389,3200,17,5,33,176,5.33,2,0,0,,0,QB,250,,18,
85,Mark Sanchez,NYJ,24,16,16,278,507,3291,17,13,30,105,3.50,3,0,0,,0,QB,236,,19,
86,Sam Bradford,STL,23,16,16,354,590,3512,18,15,27,63,2.33,1,0,0,,0,QB,231,,20,
87,Donovan McNabb,WAS,34,13,13,275,472,3377,14,15,29,151,5.21,0,0,0,,0,QB,204,,21,
88,Shaun Hill,DET,30,11,10,257,416,2686,16,12,22,123,5.59,0,0,0,,0,QB,192,,22,
89,Chad Henne,MIA,25,15,14,301,490,3301,15,19,35,52,1.49,0,0,0,,0,QB,189,,23,
,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
Rk,,Tm,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,FantPos,FantPt,VBD,PosRank,OvRank
90,Jon Kitna,DAL,38,10,9,209,318,2365,16,12,31,147,4.74,1,0,0,,0,QB,187,,24,
91,Jason Campbell,OAK,29,13,12,194,329,2387,13,8,47,222,4.72,1,0,0,,0,QB,186,,25,
92,Matt Hasselbeck,SEA,35,14,14,266,444,3001,12,17,23,60,2.61,3,0,0,,0,QB,182,,26,
93,Alex Smith,SFO,26,11,10,204,342,2370,14,10,18,60,3.33,0,0,0,,0,QB,165,,27,
94,Kerry Collins,TEN,38,9,7,160,278,1823,14,8,10,1,0.10,0,0,0,,0,QB,141,,28,
95,Thomas Jones,KAN,32,16,10,0,0,0,0,0,245,896,3.66,6,14,122,8.71,0,RB,138,,25,
96,Felix Jones,DAL,23,16,7,0,0,0,0,0,185,800,4.32,1,48,450,9.38,1,RB,137,,26,
97,Michael Bush,OAK,26,14,3,0,0,0,0,0,158,655,4.15,8,18,194,10.78,0,RB,133,,27,
98,Brandon Jackson,GNB,25,16,13,0,0,0,0,0,190,703,3.70,3,43,342,7.95,1,RB,129,,28,
99,Brett Favre,MIN,41,13,13,217,358,2509,11,19,17,8,0.47,0,0,0,,0,QB,129,,29,
100,Ronnie Brown,MIA,29,16,16,0,2,0,0,0,200,734,3.67,5,33,242,7.33,0,RB,128,,29,
101,Ryan Mathews,SDG,23,12,9,0,0,0,0,0,158,678,4.29,7,22,145,6.59,0,RB,124,,30,
102,Marshawn Lynch,2TM,24,16,14,0,0,0,0,0,202,737,3.65,6,22,145,6.59,0,RB,124,,31,
103,Ryan Torain,WAS,24,10,8,0,0,0,0,0,164,742,4.52,4,18,125,6.94,2,RB,123,,32,
104,Tony Romo,DAL,30,6,6,148,213,1605,11,7,6,38,6.33,0,0,11,,0,QB,121,,30,
105,Mike Thomas,JAX,23,16,11,0,0,0,0,0,12,114,9.50,0,66,820,12.42,4,WR,117,,31,
106,Vince Young,TEN,27,9,8,93,156,1255,10,3,25,125,5.00,0,0,0,,0,QB,117,,31,
107,Tim Hightower,ARI,24,16,13,0,0,0,0,0,153,736,4.81,5,21,136,6.48,0,RB,117,,33,
108,Pierre Garcon,IND,24,14,14,0,0,0,0,0,2,6,3.00,0,67,784,11.70,6,WR,115,,32,
109,Austin Collie,IND,25,9,6,0,0,0,0,0,0,0,,0,58,649,11.19,8,WR,113,,33,
110,Santonio Holmes,NYJ,26,12,10,0,0,0,0,0,2,17,8.50,0,52,746,14.35,6,WR,112,,34,
111,Davone Bess,MIA,25,16,8,0,0,0,0,0,2,-3,-1.50,0,79,820,10.38,5,WR,112,,35,
112,Michael Crabtree,SFO,23,16,15,0,0,0,0,0,0,0,,0,55,741,13.47,6,WR,110,,36,
113,Tim Tebow,DEN,23,9,3,41,82,654,5,3,43,227,5.28,6,0,0,,0,QB,109,,32,
114,Malcom Floyd,SDG,29,11,9,0,0,0,0,0,0,0,,0,37,717,19.38,6,WR,108,,37,
115,Nate Burleson,DET,29,14,14,0,0,0,0,0,7,81,11.57,0,55,625,11.36,6,WR,107,,39,
116,Derek Anderson,ARI,27,12,9,169,327,2065,7,10,5,25,5.00,0,0,0,,0,QB,107,,33,
117,Chad Johnson,CIN,32,14,12,0,1,0,0,0,0,0,,0,67,831,12.40,4,WR,107,,38,
118,Jonathan Stewart,CAR,23,14,7,0,0,0,0,0,178,770,4.33,2,8,103,12.88,1,RB,105,,34,
119,Hines Ward,PIT,34,16,15,0,0,0,0,0,1,-2,-2.00,0,59,755,12.80,5,WR,105,,40,
,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
Rk,,Tm,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,FantPos,FantPt,VBD,PosRank,OvRank
120,Anthony Armstrong,WAS,27,15,11,0,0,0,0,0,0,0,,0,44,871,19.80,3,WR,105,,41,
121,Nate Washington,TEN,27,16,16,0,0,0,0,0,1,-8,-8.00,0,42,687,16.36,6,WR,104,,42,
122,Chris Ivory,NOR,22,12,4,0,0,0,0,0,137,716,5.23,5,1,17,17.00,0,RB,103,,35,
123,Colt McCoy,CLE,23,8,8,135,222,1576,6,9,28,136,4.86,1,1,13,13.00,0,QB,102,,34,
124,Shonn Greene,NYJ,25,15,2,0,0,0,0,0,185,766,4.14,2,16,120,7.50,0,RB,101,,36,
125,Jabar Gaffney,DEN,30,16,11,0,0,0,0,0,0,0,,0,65,875,13.46,2,WR,100,,43,
126,Ricky Williams,MIA,33,16,0,0,0,0,0,0,159,673,4.23,2,19,141,7.42,1,RB,99,,37,
127,Mike Sims-Walker,JAX,26,14,13,0,0,0,0,0,0,0,,0,43,562,13.07,7,WR,98,,44,
128,James Jones,GNB,26,16,3,0,0,0,0,0,0,0,,0,50,679,13.58,5,WR,98,,45,
129,Cadillac Williams,TAM,28,16,9,0,0,0,0,0,125,437,3.50,2,46,355,7.72,1,RB,97,,38,
130,Danny Amendola,STL,25,16,6,0,0,0,0,0,7,81,11.57,0,85,689,8.11,3,WR,95,,47,
131,Robert Meachem,NOR,26,16,7,0,0,0,0,0,4,14,3.50,0,44,638,14.50,5,WR,95,,46,
132,Ben Watson,CLE,30,16,16,0,0,0,0,0,1,-1,-1.00,0,68,763,11.22,3,TE,94,,13,
133,Jason Snelling,ATL,27,14,0,0,0,0,0,0,87,324,3.72,2,44,303,6.89,3,RB,93,,39,
134,Rashad Jennings,JAX,25,13,3,0,0,0,0,0,84,459,5.46,4,26,223,8.58,0,RB,92,,40,
135,Kevin Walter,HOU,29,16,15,0,0,0,0,0,0,0,,0,51,621,12.18,5,WR,92,,48,
136,Todd Heap,BAL,30,13,13,0,0,0,0,0,0,0,,0,40,599,14.98,5,TE,90,,14,
137,Justin Forsett,SEA,25,16,5,0,0,0,0,0,118,523,4.43,2,33,252,7.64,0,RB,90,,41,
138,Eddie Royal,DEN,24,16,10,0,0,0,0,0,6,61,10.17,0,59,627,10.63,3,WR,87,,50,
139,Keiland Williams,WAS,24,15,3,0,0,0,0,0,65,261,4.02,3,39,309,7.92,2,RB,87,,42,
140,Jacoby Ford,OAK,23,16,9,0,0,0,0,0,10,155,15.50,2,25,470,18.80,2,WR,87,,51,
141,Jacob Tamme,IND,25,16,8,0,0,0,0,0,0,0,,0,67,631,9.42,4,TE,87,,15,
142,Troy Smith,SFO,26,6,6,73,145,1176,5,4,23,121,5.26,1,0,0,,0,QB,87,,35,
143,Mike Williams,SEA,26,14,13,0,0,0,0,0,1,0,0.00,0,65,751,11.55,2,WR,87,,49,
144,Joseph Addai,IND,27,8,7,0,0,0,0,0,116,495,4.27,4,19,124,6.53,0,RB,86,,43,
145,Josh Morgan,SFO,25,16,11,0,0,0,0,0,2,17,8.50,0,44,698,15.86,2,WR,84,,52,
146,Kevin Boss,NYG,26,15,13,0,0,0,0,0,0,0,,0,35,531,15.17,5,TE,83,,16,
147,Roy E. Williams,DAL,29,15,9,0,0,0,0,0,0,0,,0,37,530,14.32,5,WR,83,,53,
148,Donald Brown,IND,23,13,8,0,0,0,0,0,129,497,3.85,2,20,205,10.25,0,RB,82,,44,
149,Kevin Kolb,PHI,26,7,5,115,189,1197,7,7,15,65,4.33,0,0,0,,0,QB,82,,36,
,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
Rk,,Tm,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,FantPos,FantPt,VBD,PosRank,OvRank
150,Steve Breaston,ARI,27,13,11,1,2,17,0,0,3,35,11.67,0,47,718,15.28,1,WR,82,,54,
151,Lee Evans,BUF,29,13,13,0,0,0,0,0,0,0,,0,37,578,15.62,4,WR,82,,55,
152,Donald Driver,GNB,35,15,15,0,0,0,0,0,0,0,,0,51,565,11.08,4,WR,81,,56,
153,Maurice Morris,DET,31,14,7,0,0,0,0,0,90,336,3.73,5,25,170,6.80,0,RB,81,,45,
154,Willis McGahee,BAL,29,15,2,0,0,0,0,0,100,380,3.80,5,14,55,3.93,1,RB,80,,46,
155,Brian Westbrook,SFO,31,14,5,0,0,0,0,0,77,340,4.42,4,16,150,9.38,1,RB,79,,47,
156,Jordan Shipley,CIN,25,15,4,0,0,0,0,0,0,0,,0,52,600,11.54,3,WR,78,,57,
157,Louis Murphy,OAK,23,14,9,0,0,0,0,0,1,43,43.00,0,41,609,14.85,2,WR,77,,58,
158,Anthony Fasano,MIA,26,15,15,0,0,0,0,0,0,0,,0,39,528,13.54,4,TE,77,,17,
159,Brandon Gibson,STL,23,14,12,0,0,0,0,0,3,28,9.33,0,53,620,11.70,2,WR,77,,59,
160,Joel Dreessen,HOU,28,16,11,0,0,0,0,0,0,0,,0,36,518,14.39,4,TE,76,,18,
161,Devin Hester*+,CHI,28,16,13,0,0,0,0,0,7,30,4.29,0,40,475,11.88,4,WR,75,,63,
162,Brent Celek,PHI,25,16,15,0,0,0,0,0,0,0,,0,42,511,12.17,4,TE,75,,19,
163,Jacoby Jones,HOU,26,15,7,0,0,0,0,0,2,7,3.50,0,51,562,11.02,3,WR,75,,62,
164,Ben Obomanu,SEA,27,15,6,0,0,0,0,0,2,17,8.50,0,30,494,16.47,4,WR,75,,60,
165,Earl Bennett,CHI,23,14,3,0,0,0,0,0,2,9,4.50,0,46,561,12.20,3,WR,75,,61,
166,John Kuhn,GNB,28,16,2,0,0,0,0,0,84,281,3.35,4,15,97,6.47,2,RB,74,,48,
167,Tony Moeaki,KAN,23,15,15,0,0,0,0,0,0,0,,0,47,556,11.83,3,TE,74,,20,
168,Steve Smith,NYG,25,9,7,0,0,0,0,0,0,0,,0,48,529,11.02,3,WR,71,,64,
169,Jermaine Gresham,CIN,22,15,10,0,0,0,0,0,0,0,,0,52,471,9.06,4,TE,71,,21,
170,Brian Hartline,MIA,24,12,11,0,0,0,0,0,2,27,13.50,0,43,615,14.30,1,WR,70,,65,
171,Rex Grossman,WAS,30,4,3,74,133,884,7,4,3,6,2.00,0,0,0,,0,QB,70,,37,
172,Greg Olsen,CHI,25,16,13,0,0,0,0,0,0,0,,0,41,404,9.85,5,TE,70,,22,
173,Marcel Reece,OAK,25,16,10,0,0,0,0,0,30,122,4.07,1,25,333,13.32,3,RB,70,,49,
174,Randy Moss,3TM,33,16,11,0,0,0,0,0,0,0,,0,28,393,14.04,5,WR,69,,66,
175,David Gettis,CAR,23,15,13,0,0,0,0,0,3,2,0.67,0,37,508,13.73,3,WR,69,,67,
176,Steve Smith,CAR,31,14,14,0,0,0,0,0,1,9,9.00,0,46,554,12.04,2,WR,68,,68,
177,Jimmy Clausen,CAR,23,13,10,157,299,1558,3,9,23,57,2.48,0,0,0,,0,QB,68,,38,
178,Brandon Tate,NWE,23,16,10,0,0,0,0,0,5,62,12.40,0,24,432,18.00,3,WR,67,,69,
179,Drew Stanton,DET,26,6,3,69,119,780,4,3,18,113,6.28,1,0,0,,0,QB,67,,39,
,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
Rk,,Tm,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,FantPos,FantPt,VBD,PosRank,OvRank
180,Mohamed Massaquoi,CLE,24,15,14,1,1,29,1,0,1,-3,-3.00,0,36,483,13.42,2,WR,67,,70,
181,Jimmy Graham,NOR,25,15,5,0,0,0,0,0,1,3,3.00,0,31,356,11.48,5,TE,66,,23,
182,Marion Barber,DAL,27,13,10,0,1,0,0,0,113,374,3.31,4,11,49,4.45,0,RB,66,,50,
183,Visanthe Shiancoe,MIN,30,16,9,0,0,0,0,0,0,0,,0,47,530,11.28,2,TE,65,,24,
184,Heath Miller,PIT,28,14,14,0,0,0,0,0,0,0,,0,42,512,12.19,2,TE,63,,25,
185,Michael Jenkins,ATL,28,11,9,0,0,0,0,0,0,0,,0,41,505,12.32,2,WR,63,,73,
186,Jason Avant,PHI,27,16,3,0,0,0,0,0,0,0,,0,51,573,11.24,1,WR,63,,71,
187,Deon Butler,SEA,24,13,8,0,0,0,0,0,2,6,3.00,0,36,385,10.69,4,WR,63,,72,
188,Correll Buckhalter,DEN,32,15,0,0,0,0,0,0,59,147,2.49,2,28,240,8.57,2,RB,63,,51,
189,Matthew Stafford,DET,22,3,3,57,96,535,6,1,4,11,2.75,1,0,0,,0,QB,63,,40,
190,Derrick Ward,HOU,30,16,0,0,0,0,0,0,50,315,6.30,4,7,61,8.71,0,RB,62,,52,
191,Bruce Gradkowski,OAK,27,6,4,83,157,1059,5,7,12,41,3.42,0,0,0,,0,QB,62,,41,
192,Brandon LaFell,CAR,24,14,2,0,1,0,0,0,1,60,60.00,0,38,468,12.32,1,WR,59,,74,
193,Jeremy Shockey,NOR,30,13,11,0,0,0,0,0,0,0,,0,41,408,9.95,3,TE,59,,27,
194,Pierre Thomas,NOR,26,6,3,0,0,0,0,0,83,269,3.24,2,29,201,6.93,0,RB,59,,54,
195,Chris Wells,ARI,22,13,2,0,0,0,0,0,116,397,3.42,2,5,74,14.80,0,RB,59,,53,
196,Chester Taylor,CHI,31,16,1,0,0,0,0,0,112,267,2.38,3,20,139,6.95,0,RB,59,,55,
197,Owen Daniels,HOU,28,11,10,0,0,0,0,0,0,0,,0,38,471,12.39,2,TE,59,,26,
198,T.J. Houshmandzadeh,BAL,33,16,2,0,0,0,0,0,0,0,,0,30,398,13.27,3,WR,58,,75,
199,Patrick Crayton,SDG,31,9,2,0,1,0,0,0,0,0,,0,28,514,18.36,1,WR,57,,76,
200,Bo Scaife,TEN,29,14,13,0,0,0,0,0,0,0,,0,36,318,8.83,4,TE,56,,28,
201,Arrelious Benn,TAM,22,15,9,0,0,0,0,0,6,35,5.83,0,25,395,15.80,2,WR,55,,77,
202,Jerricho Cotchery,NYJ,28,14,5,0,0,0,0,0,4,-3,-0.75,0,41,433,10.56,2,WR,55,,78,
203,Toby Gerhart,MIN,23,15,1,0,0,0,0,0,81,322,3.98,1,21,167,7.95,0,RB,55,,56,
204,Javarris James,IND,23,10,0,0,0,0,0,0,46,112,2.43,6,9,63,7.00,0,RB,54,,57,
205,Roscoe Parrish,BUF,28,8,6,0,0,0,0,0,3,23,7.67,0,33,400,12.12,2,WR,54,,79,
206,Devery Henderson,NOR,28,16,11,0,0,0,0,0,3,8,2.67,0,34,464,13.65,1,WR,53,,81,
207,Tashard Choice,DAL,26,16,0,0,0,0,0,0,66,243,3.68,3,17,109,6.41,0,RB,53,,58,
208,Dallas Clark,IND,31,6,6,0,0,0,0,0,0,0,,0,37,347,9.38,3,TE,53,,29,
209,David Nelson,BUF,24,15,3,0,0,0,0,0,0,0,,0,31,353,11.39,3,WR,53,,80,
,,,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
Rk,,Tm,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,FantPos,FantPt,VBD,PosRank,OvRank
